Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_doordash_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_doordash_pm_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_apple_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_apple_pm_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_samsara_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_samsara_pm_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_yelp_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_yelp_pm_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_match_pm_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_match_pm_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_i2c_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_i2c_ux_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_adobe_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_adobe_ux_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_amazon_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_amazon_ux_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_rowan_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_rowan_ux_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_google_ux_Raw_Score,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_google_ux_Score
3021,0.59419703,0.7970985,0.5748979,0.78744894,0.5403685,0.7701843,0.5500636,0.7750318,0.56477666,0.7823883,0.47743306,0.73871654,0.4847512,0.7423756,0.53581285,0.7679064,0.54346037,0.7717302,0.4990778,0.7495389
3093,0.70694685,0.8534734,0.76450896,0.8822545,0.71162874,0.85581434,0.6666578,0.8333289,0.73023874,0.86511934,0.6802118,0.8401059,0.68209785,0.84104896,0.742712,0.871356,0.7306841,0.865342,0.7280831,0.86404157
3105,0.8103052,0.90515256,0.7649895,0.88249475,0.7455664,0.8727832,0.67711794,0.838559,0.75426185,0.8771309,0.69275606,0.846378,0.69037807,0.84518903,0.73117316,0.8655866,0.7084657,0.85423285,0.7277096,0.86385477
3113,0.6144954,0.8072477,0.5943692,0.7971846,0.57812345,0.7890617,0.54236513,0.77118254,0.5668379,0.78341895,0.65639424,0.8281971,0.59568846,0.79784423,0.6334558,0.8167279,0.6212943,0.81064713,0.65542537,0.82771266
3118,0.6017808,0.8008904,0.6337879,0.81689394,0.575299,0.7876495,0.545565,0.7727825,0.65326023,0.8266301,0.6306281,0.81531405,0.6382477,0.81912386,0.6641195,0.83205974,0.6956587,0.84782934,0.6711384,0.8355692
3120,0.59359866,0.7967993,0.6115937,0.80579686,0.57196975,0.7859849,0.58651924,0.7932596,0.5417477,0.77087384,0.55801547,0.77900773,0.5548579,0.777429,0.62019444,0.8100972,0.60170376,0.8008519,0.59994406,0.79997206
3122,0.78081703,0.8904085,0.72795606,0.863978,0.7016391,0.8508196,0.6563562,0.8281781,0.7440587,0.87202936,0.7445103,0.87225515,0.6831323,0.84156615,0.77296865,0.8864843,0.7089845,0.85449225,0.7354075,0.86770374
3123,0.6879753,0.84398764,0.69487774,0.8474389,0.6548166,0.8274083,0.63736486,0.81868243,0.68401,0.842005,0.70608926,0.8530446,0.67724967,0.83862484,0.7245583,0.8622792,0.7239343,0.86196715,0.7183126,0.8591563
3133,0.7392796,0.8696398,0.6825936,0.8412968,0.7148153,0.8574077,0.65495706,0.8274785,0.67092085,0.8354604,0.7132952,0.8566476,0.63458693,0.81729347,0.740806,0.870403,0.674958,0.837479,0.7081171,0.85405856
3134,0.75798315,0.8789916,0.71766496,0.8588325,0.7063085,0.85315424,0.6447091,0.82235456,0.7330952,0.8665476,0.72898877,0.8644944,0.6533746,0.82668734,0.74304676,0.8715234,0.68295777,0.8414789,0.69480705,0.8474035
