Unnamed: 0,resume UIUX Score
98303,83.826
98304,85.299
98305,85.22
98306,85.561
98307,83.743
98308,86.003
98309,82.188
98310,79.86
98311,85.741
98312,85.207
98313,86.491
98314,87.613
98315,85.742
98316,87.112
98317,84.956
98318,82.709
98319,83.823
98320,86.808
98321,81.653
98322,87.385
98323,87.97
98324,86.441
98325,87.08
98326,82.205
98327,77.64
98328,83.155
98329,83.17
98330,83.451
98331,78.482
98332,83.958
98333,81.24
98334,77.11
98335,79.087
98336,81.672
98337,84.542
98338,79.653
98339,85.538
98340,85.989
98341,86.918
98342,82.961
98343,85.214
98344,84.654
98345,82.567
98346,83.196
98347,80.836
98348,78.332
98349,86.919
98350,87.198
98351,85.632
98352,83.731
98353,84.831
98354,77.17
98355,82.181
98356,81.207
98357,76.337
98358,83.587
98359,79.388
98360,75.972
98361,85.634
98362,81.38
98363,81.094
98364,80.936
98365,83.133
98366,78.308
98367,82.974
98368,80.833
98369,86.564
98370,86.826
98371,83.927
98372,86.44
98373,81.774
98374,81.3
98375,82.14
98376,83.115
98377,82.37
98378,84.188
98379,87.857
98380,86.181
98381,85.374
98382,87.118
98383,84.314
98384,80.418
98385,83.591
98386,79.137
98387,84.887
98388,82.881
98389,82.922
98390,79.112
98391,82.617
98392,81.374
98393,84.019
98394,85.866
98395,87.614
98396,82.021
98397,82.078
98398,80.384
98399,80.152
98400,78.111
98401,82.964
98402,84.91
